#{"t_start": 1744231185.634812, "env_id": "Humanoid-v5"}
r,l,t
107.337708,25,13.84171
62.77118,15,13.878078
69.830177,18,13.922182
52.8444,15,13.957566
69.528209,18,14.001508
61.02174,17,14.041732
81.396711,21,14.094705
87.078322,22,14.153787
72.932431,20,14.205724
67.441973,19,14.252883
60.058286,15,14.288863
69.766958,18,14.333292
66.787756,17,14.377955
64.790064,15,14.419808
57.782386,14,14.457049
71.04826,18,14.499363
60.989022,17,14.550742
73.636245,19,14.604854
62.068328,15,14.645367
69.33874,18,14.70431
60.154581,15,14.744586
60.91234,15,14.786116
80.853351,22,14.839082
69.010426,18,14.883486
65.129171,18,14.927451
65.216128,17,14.975735
59.188026,15,15.011989
72.757761,19,15.061592
60.309629,15,15.09822
77.807456,20,15.148187
78.307506,21,15.203215
69.236242,18,15.257864
75.3306,20,15.317075
53.527687,17,15.359524
69.193321,18,15.411042
96.479402,26,15.503232
70.837789,19,15.55153
102.275108,26,15.613194
167.059022,36,15.716666
147.755989,33,15.807973
122.937393,30,15.882993
93.369352,24,15.940982
64.679902,17,15.982108
106.065195,28,16.049517
78.613763,20,16.096772
122.467354,27,16.162415
65.892815,19,16.210609
164.386203,32,16.296471
92.372967,24,16.356164
117.944702,27,16.42174
94.73069,23,16.481329
100.995173,25,16.546725
64.824348,17,16.593721
66.121115,17,16.638047
110.878217,28,16.7081
96.31878,24,16.772326
74.046515,19,16.818295
121.245007,29,16.890205
159.321354,33,16.973224
124.543639,29,17.048522
85.825955,22,17.108181
168.326651,34,17.19749
90.185624,23,17.254478
118.434299,27,17.32547
130.975137,31,17.400331
125.194527,27,17.467845
96.280831,25,17.530206
102.722108,26,17.594509
121.857092,30,17.669151
139.50721,30,17.749759
106.770315,28,17.825461
76.8443,19,17.875927
81.970202,21,17.932251
101.889647,25,17.999256
108.126213,26,18.063871
120.824956,28,18.136299
119.517366,29,18.212842
70.259327,18,18.256446
102.318289,25,18.317858
100.581767,24,18.380995
79.162233,21,18.434658
105.282896,27,18.5078
83.087692,22,18.560882
117.574101,27,18.626647
64.174526,17,18.669198
135.541199,30,18.744277
64.024606,16,18.784505
96.822736,25,18.845212
167.059397,34,18.933002
123.244677,27,19.003088
70.631106,19,19.050146
90.056138,23,19.106387
81.774371,21,19.158497
161.094392,32,19.237621
122.062567,28,19.307586
82.482944,22,19.360891
132.020748,29,19.438025
103.104046,24,19.499826
70.801543,18,19.546118
148.616389,32,19.627319
97.704817,24,19.686946
171.053488,36,19.776462
216.973975,43,19.886831
141.059939,32,19.974952
82.13509,22,20.028552
131.030046,28,20.098105
118.811322,27,20.163835
92.361878,24,20.224738
118.394428,26,20.293056
77.198964,20,20.344062
126.573036,29,20.416713
120.022178,30,20.4922
107.861617,26,20.555585
