#{"t_start": 1744238897.0996728, "env_id": "Humanoid-v5"}
r,l,t
81.109042,18,0.129462
125.913348,30,0.242768
99.070525,23,0.33253
145.490217,33,0.413812
128.140134,28,0.477913
80.488969,18,0.527617
83.237419,19,0.57282
81.136171,18,0.614113
97.717795,24,0.67351
98.520325,22,0.72705
76.254989,17,0.765122
98.653438,21,0.810572
145.85762,33,0.892602
80.639404,18,0.934186
161.621952,35,1.015167
83.929495,19,1.057302
110.670962,23,1.113329
92.150138,21,1.16928
139.206335,32,1.247536
108.324361,25,1.307738
91.990521,20,1.353391
100.450349,23,1.41117
80.266782,18,1.454435
91.768986,21,1.504701
76.590826,17,1.543332
82.133794,20,1.595228
86.106509,19,1.642487
129.956853,28,1.719895
93.987377,23,1.778424
83.648485,19,1.824724
104.691247,25,1.892268
98.299851,24,1.955688
99.66258,23,2.010829
142.200484,29,2.078454
198.271086,44,2.187078
182.123504,42,2.29387
93.339677,21,2.344251
80.749364,18,2.386339
104.609425,24,2.443961
74.206105,17,2.485662
73.565651,17,2.52378
102.428921,23,2.584863
76.301395,17,2.623899
93.667807,23,2.704355
93.35267,21,2.753435
69.23956,16,2.790393
68.732702,16,2.829242
87.190293,19,2.879589
92.652823,21,2.928704
71.403168,16,2.965641
70.434598,16,3.006645
71.152156,16,3.043904
71.950755,16,3.084158
63.155541,15,3.124874
75.927107,17,3.165871
75.659801,17,3.208423
128.546791,29,3.279943
75.13582,17,3.322209
69.268548,16,3.359932
71.190965,16,3.397204
76.448603,17,3.436407
75.18205,17,3.475659
98.800544,24,3.536503
118.462276,26,3.600365
76.205234,18,3.64253
70.75144,16,3.68174
75.302184,17,3.72891
76.179994,17,3.769544
82.812483,19,3.816172
71.024643,16,3.854294
66.366795,15,3.902211
68.782196,16,3.941434
75.437492,17,3.986929
106.959993,23,4.042987
73.011792,17,4.08652
80.751284,18,4.1282
71.196445,16,4.165312
81.798828,18,4.207409
161.570953,33,4.288125
82.391582,20,4.339748
76.360737,17,4.379738
70.287136,16,4.418033
80.809326,18,4.459907
70.462205,16,4.497958
71.85345,16,4.534829
114.521552,27,4.609957
170.872198,36,4.702268
71.650252,16,4.739898
89.77135,24,4.797341
76.332844,17,4.8414
70.071825,16,4.885913
76.013125,17,4.93102
102.266738,24,4.991845
68.145836,16,5.030882
71.598379,16,5.076883
100.406508,22,5.133897
83.31589,19,5.182837
105.246781,24,5.26844
74.795602,18,5.313987
73.40869,17,5.352458
71.068158,16,5.389579
72.948656,17,5.427814
75.791184,17,5.467041
71.593642,16,5.503245
70.007192,16,5.53952
85.633491,19,5.583745
75.971984,17,5.623152
64.830391,15,5.662172
105.860713,22,5.719465
71.258613,16,5.756865
70.310318,16,5.796107
74.227987,17,5.842868
84.104648,20,5.888398
71.497761,16,5.925516
81.569613,18,5.96822
66.347219,15,6.005537
70.394121,16,6.044
70.861145,16,6.081862
74.399466,17,6.121291
74.963652,17,6.162747
86.563045,19,6.20884
70.069714,16,6.246352
