#{"t_start": 1744223519.426337, "env_id": "Humanoid-v5"}
r,l,t
120.003683,26,1.278571
75.671853,17,1.312488
75.179538,18,1.343189
97.870247,23,1.384101
81.392179,18,1.417056
80.309995,18,1.448
76.262636,17,1.477941
76.262146,17,1.505769
80.016883,18,1.538708
86.049994,19,1.573819
86.005899,19,1.60848
105.614541,23,1.650209
64.126918,16,1.6789
76.191468,17,1.70889
116.112127,27,1.759555
73.8871,17,1.788964
95.063044,21,1.826716
81.260979,18,1.858646
150.558475,34,1.925055
87.594395,19,1.959177
73.955028,17,1.989706
81.440505,18,2.025362
82.724005,19,2.068316
70.595732,16,2.097778
76.373808,17,2.128399
97.189099,22,2.168463
98.433869,22,2.20566
74.468242,17,2.23702
70.739804,16,2.266001
80.814635,18,2.296993
104.141313,23,2.340764
82.426969,18,2.372876
118.773866,26,2.420558
76.421056,17,2.451151
104.212914,23,2.49392
76.136964,17,2.52301
99.871106,23,2.562712
119.405451,26,2.610672
101.209436,23,2.652077
75.780235,17,2.68261
71.334205,16,2.710711
75.119987,17,2.741806
85.72023,19,2.775888
89.916924,23,2.818733
115.79103,26,2.865643
102.679082,23,2.907086
94.426012,21,2.945888
75.996097,17,2.977065
76.261794,17,3.011914
66.059566,15,3.04389
90.81246,20,3.082006
132.898945,30,3.139578
71.397026,16,3.168427
75.720638,17,3.199437
111.743995,26,3.247444
95.627004,22,3.285116
81.032738,18,3.318766
85.969524,19,3.354546
127.545106,28,3.403445
109.096735,24,3.456967
71.56954,16,3.489731
107.735522,25,3.539046
69.85674,16,3.571229
136.786817,30,3.630568
93.239678,21,3.666511
102.453874,23,3.707392
75.849248,17,3.7375
85.695268,19,3.769914
129.238702,28,3.833248
75.58569,17,3.868932
123.716474,27,3.918456
84.504948,20,3.95461
76.326624,17,3.98482
70.725787,16,4.01304
152.376544,32,4.070737
71.790523,16,4.115687
92.673617,21,4.152232
68.538086,16,4.17965
75.902686,17,4.208908
79.964371,18,4.241252
104.785875,23,4.282961
76.351493,17,4.312397
86.137969,19,4.346486
71.229574,16,4.374505
82.81907,19,4.405879
69.599422,16,4.437692
100.714184,22,4.477382
94.659314,21,4.516338
85.80085,19,4.553458
76.486072,17,4.584978
97.669325,23,4.624868
70.780295,16,4.65379
70.659469,16,4.682381
100.28943,22,4.722551
74.14467,17,4.753093
70.128198,16,4.781611
110.075034,24,4.824064
81.763908,18,4.858095
87.097581,19,4.8935
94.975388,21,4.930746
81.304807,18,4.964364
75.596669,17,4.995377
99.917983,22,5.19309
66.660774,15,5.218449
92.953056,21,5.255089
74.632951,17,5.286505
109.152748,26,5.336608
94.464938,21,5.376555
95.828843,23,5.418154
72.911728,17,5.450694
76.682274,17,5.485854
64.961357,15,5.516537
155.953654,32,5.574391
88.075991,20,5.611495
92.78799,21,5.649239
74.759431,18,5.679258
83.289328,20,5.714196
94.166584,21,5.750404
100.633608,24,5.794536
88.931739,20,5.830619
71.566513,16,5.859307
76.53404,17,5.890219
76.643728,17,5.92075
97.743357,22,5.957914
70.362529,16,5.987626
77.234903,19,6.022999
81.297104,19,6.059408
77.507835,19,6.099866
132.542804,28,6.154249
89.179416,20,6.191455
75.393236,17,6.22234
73.106045,17,6.25386
90.605711,22,6.294912
81.819513,18,6.328196
78.152463,18,6.363528
144.157092,31,6.423295
76.155356,17,6.454116
78.86942,18,6.486998
91.505217,22,6.527727
108.741367,24,6.572803
76.171363,17,6.603317
80.813452,19,6.643015
93.290138,23,6.688321
69.960941,17,6.720476
82.246694,20,6.762325
99.030217,23,6.808737
119.693066,26,6.860888
93.16183,23,6.908797
99.226787,24,6.955039
76.228997,17,6.986474
71.261513,16,7.015477
89.802108,22,7.056612
100.007665,23,7.098734
73.525773,17,7.135061
157.248003,34,7.206465
76.605145,19,7.242247
90.966425,22,7.284086
126.319992,27,7.338012
76.120888,17,7.372728
81.225162,19,7.408709
78.85424,19,7.444836
91.268777,23,7.487709
75.087626,17,7.518752
86.22501,19,7.556345
76.283906,18,7.594402
111.938314,25,7.645107
88.204076,21,7.683268
89.514628,21,7.719886
72.82913,16,7.748285
78.959706,18,7.780603
74.773098,17,7.812477
80.975579,19,7.850385
119.808018,27,7.90543
82.999253,19,7.943534
75.892096,18,7.980394
108.856013,26,8.035954
83.547302,19,8.074532
75.540106,19,8.113054
84.627379,19,8.151814
81.220826,18,8.189139
98.997477,23,8.239356
66.896221,15,8.267244
91.116419,22,8.312369
75.049749,17,8.346727
71.125906,16,8.380964
105.667898,25,8.438987
94.437334,22,8.488409
71.15804,16,8.518148
106.777246,24,8.566443
75.807219,18,8.608326
84.564952,20,8.651989
104.397145,25,8.707343
75.738574,17,8.745956
97.577746,23,8.796039
84.163014,19,8.835301
102.758602,25,8.888134
76.167615,17,8.922881
83.547528,19,8.965038
79.8955,19,9.003884
90.014528,21,9.047508
80.289975,18,9.08445
104.690037,24,9.134412
74.504515,17,9.170582
71.140676,16,9.234152
73.980235,17,9.276954
95.401987,23,9.331154
110.853798,25,9.386218
75.250887,18,9.426002
74.156667,17,9.463511
71.13579,16,9.498383
98.835874,24,9.556935
74.791987,17,9.594635
80.113008,19,9.634834
88.562885,21,9.681043
148.322034,32,9.761295
80.806884,18,9.800419
101.606001,23,9.859883
82.417669,19,9.910846
110.875481,25,9.972358
117.797522,27,10.040334
93.364649,22,10.090567
96.063458,23,10.143511
71.098691,16,10.179794
74.018246,17,10.220578
74.419213,17,10.263711
80.464012,18,10.305851
94.142837,21,10.354087
88.137595,21,10.404187
76.498641,17,10.443642
80.054036,19,10.488562
71.128408,16,10.526671
119.973577,28,10.592456
95.575209,22,10.642447
122.318836,29,10.718415
107.609343,25,10.780105
71.555543,16,10.816084
74.978689,17,10.854691
74.853194,18,10.895676
65.811557,15,10.930221
70.061444,17,10.970433
89.319747,22,11.024142
106.825825,27,11.090747
80.525051,18,11.13195
112.721595,26,11.192584
91.223363,22,11.244578
85.852463,21,11.297851
119.075982,27,11.369937
70.497454,16,11.412091
131.113034,32,11.490297
97.157144,23,11.549733
80.274463,18,11.593347
74.371407,17,11.633774
91.254255,22,11.688329
99.137276,23,11.74432
91.853295,21,11.796614
112.96512,26,11.860316
67.979998,16,11.897555
102.247109,25,11.96104
66.578656,15,11.99628
108.040856,26,12.059772
104.213791,25,12.118966
71.146977,16,12.156546
81.009583,18,12.204311
68.283552,16,12.245967
84.61667,21,12.30218
